"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.823860625E0,5.268144836E0,5.570665741E0,5.784121857E0,9.604255956E0
2.833909625E0,5.267695770E0,5.729635162E0,5.539081421E0,9.552945138E0
2.843959625E0,5.207071838E0,5.870043182E0,5.298681335E0,9.468211446E0
2.854008625E0,5.126539307E0,5.953719177E0,5.080884247E0,9.356471666E0
2.864057625E0,5.012177124E0,6.122418365E0,5.077591095E0,9.401481665E0
2.874107625E0,4.948559418E0,6.233038330E0,4.992567902E0,9.394931686E0
2.884156625E0,5.027295685E0,6.342460785E0,4.851112061E0,9.435772302E0
2.894205625E0,5.046306152E0,6.556665344E0,4.713697815E0,9.522290340E0
2.904255625E0,5.003644867E0,6.714586945E0,4.574936371E0,9.542126733E0
2.914304625E0,4.981041870E0,6.831044769E0,4.489913177E0,9.572526892E0
2.924353625E0,4.952451324E0,7.025041351E0,4.379592590E0,9.646699506E0
2.934403625E0,5.048551483E0,7.185807037E0,4.230203247E0,9.747733807E0
2.944452625E0,4.999303894E0,7.426805878E0,4.191134491E0,9.885145082E0
2.954501625E0,5.056484985E0,7.640112305E0,4.141437836E0,1.005439525E1
2.964551625E0,5.085674286E0,7.753726044E0,3.973936157E0,1.008843492E1
2.974600625E0,5.012476501E0,7.944728851E0,3.895199890E0,1.016937655E1
2.984649625E0,4.915478210E0,7.914342041E0,3.688928833E0,1.002032594E1
2.994699625E0,4.775369568E0,8.178991699E0,3.702849884E0,1.016912764E1
3.004748625E0,4.717889099E0,8.315657501E0,3.789819031E0,1.028452068E1
3.014797625E0,4.850363617E0,8.306676178E0,3.854634247E0,1.036267830E1
3.024847625E0,4.798421631E0,8.626710663E0,4.002975769E0,1.065217358E1
3.034896625E0,4.893174591E0,8.514893188E0,3.849993896E0,1.054841299E1
3.044945625E0,4.857099609E0,8.516988831E0,3.474574585E0,1.040207594E1
3.054995625E0,4.600982208E0,8.572373657E0,2.762205963E0,1.011357549E1
3.065044625E0,4.426445160E0,8.540340271E0,2.110760651E0,9.848154102E0
3.075092583E0,4.198319550E0,8.625962219E0,1.575473785E0,9.721894306E0
3.085141583E0,4.102818146E0,8.590186615E0,1.071022797E0,9.579744916E0
3.095191583E0,3.820804596E0,8.752898254E0,8.708889771E-1,9.590110699E0
3.105240583E0,3.546425171E0,8.693621521E0,6.224057007E-1,9.409759588E0
3.115289583E0,3.167263641E0,8.645721130E0,4.691244507E-1,9.219551539E0
3.125339583E0,2.845432892E0,8.624764709E0,2.751278687E-1,9.086184567E0
3.135388583E0,2.423161011E0,8.479416962E0,-1.118174744E-1,8.819564867E0
3.145437583E0,2.145488434E0,8.376880188E0,-4.125421143E-1,8.657103055E0
3.155487583E0,1.792971497E0,8.313861237E0,-7.650590515E-1,8.539341356E0
3.165536583E0,1.444795532E0,8.284222870E0,-1.039139099E0,8.473228001E0
3.175585583E0,1.171463928E0,8.298293610E0,-1.233135681E0,8.470810361E0
3.185635583E0,7.978408813E-1,8.237370300E0,-1.355581055E0,8.386204119E0
3.195684583E0,5.128335571E-1,8.233777771E0,-1.319655762E0,8.354614651E0
3.205733583E0,2.408491516E-1,8.195457458E0,-1.420845337E0,8.321197795E0
3.215783583E0,-4.176315308E-2,8.185428314E0,-1.581611023E0,8.336934345E0
3.225832583E0,-1.360670471E-1,8.078849945E0,-1.728755035E0,8.262864192E0
3.235881583E0,-4.564009094E-1,8.011190643E0,-2.010020142E0,8.272101201E0
3.245931583E0,-9.949809265E-1,8.014483795E0,-2.269131317E0,8.388736167E0
3.255980583E0,-1.371597748E0,7.870632935E0,-2.486479340E0,8.367241043E0
3.266029583E0,-1.685644684E0,7.823331299E0,-2.636916504E0,8.426104631E0
3.276079583E0,-2.116598511E0,7.839647369E0,-2.686313782E0,8.553148068E0
3.286128583E0,-2.404449921E0,7.773185577E0,-2.829565887E0,8.614536352E0
3.296177583E0,-2.480342102E0,7.782466278E0,-2.993475037E0,8.699412113E0
3.306227583E0,-2.796035614E0,7.765850830E0,-3.161575470E0,8.838654520E0
